1,2,13
1,3,25
1,4,48
1,5,48
1,6,38
1,7,48
1,8,35
1,9,15
1,10,13
2,1,13
2,3,23
2,4,48
2,5,48
2,6,28
2,7,28
2,8,25
2,9,45
2,10,17
3,1,25
3,2,13
3,4,72
3,5,72
3,6,48
3,7,18
3,8,24
3,9,24
3,10,23
4,1,28
4,2,24
4,3,74
4,5,37
4,6,26
4,7,36
4,8,12
4,9,12
4,10,48
5,1,14
5,2,18
5,3,74
5,4,17
5,6,16
5,7,26
5,8,12
5,9,12
5,10,48
6,1,18
6,2,18
6,3,27
6,4,16
6,5,36
6,7,17
6,8,38
6,9,18
6,10,28
7,1,28
7,2,28
7,3,37
7,4,26
7,5,16
7,6,17
7,8,28
7,9,28
7,10,18
8,1,15
8,2,15
8,3,16
8,4,32
8,5,12
8,6,38
8,7,18
8,9,27
8,10,35
9,1,25
9,2,25
9,3,26
9,4,22
9,5,12
9,6,28
9,7,28
9,8,47
9,10,25
10,1,13
10,2,17
10,3,13
10,4,28
10,5,48
10,6,18
10,7,38
10,8,35
10,9,15
